<depression , [triste]>
<violence , [triste]>
<war , [triste]>
<torture , [triste]>
<died , [triste]>
<killed , [triste]>
<suicide , [triste]>
<abuse , [triste]>
<failed , [triste]>
<sickness , [triste]>
<kills , [triste]>
<rape , [triste]>
<cry , [triste]>
<headache , [triste]>
<disaster , [triste]>
<terrorist , [triste]>
<murder , [triste]>
<terror , [triste]>
<die , [triste]>
<fail , [triste]>
<earthquake , [triste]>
<death , [triste]>
<depressing , [triste]>
<kill , [triste]>
<criminal , [triste]>
<wars , [triste]>
<cancer , [triste]>
<bomb , [triste]>
<jail , [triste]>
<poison , [triste]>
<evil , [triste]>
<killing , [triste]>
<arrested , [triste]>
<cruel , [triste]>
